"continent","education_of_employee","has_job_experience","requires_job_training","no_of_employees","region_of_employment","prevailing_wage","unit_of_wage","full_time_position","company_age","y_train"
"Asia","High School","N","N",1902,"Midwest",94585.14,"Year","Y",27,"0"
"North America","Bachelor's","N","N",2163,"West",245890.1,"Year","Y",18,"0"
"Africa","Bachelor's","Y","N",4491,"South",81958.33,"Year","N",18,"0"
"Asia","Master's","Y","N",1735,"Northeast",22609.47,"Year","Y",17,"0"
"North America","Doctorate","N","N",1953,"Midwest",16873.86,"Year","Y",15,"0"
"Asia","Bachelor's","Y","N",504,"West",28524.69,"Year","Y",21,"0"
"Europe","Bachelor's","Y","N",1673,"South",47762.92,"Year","Y",74,"0"
"Asia","Bachelor's","Y","N",2952,"Island",120939.22,"Year","N",41,"0"
"Asia","Master's","Y","N",4047,"Midwest",118256.41,"Year","Y",23,"0"
"North America","Master's","Y","N",1633,"West",207.1684,"Hour","Y",13,"0"
"Asia","Master's","N","N",2425,"West",71001.4,"Year","Y",22,"0"
"Asia","Master's","N","N",2470,"West",10587.35,"Year","N",41,"0"
"Asia","Bachelor's","Y","N",1822,"Midwest",28464.02,"Year","Y",16,"0"
"Asia","Master's","N","N",2119,"Northeast",49432.08,"Year","Y",30,"0"
"Europe","High School","N","N",435,"Midwest",25533.46,"Year","Y",19,"0"
"Asia","Bachelor's","Y","N",4722,"West",166845.91,"Year","Y",38,"0"
"Asia","Master's","Y","N",3020,"South",40288.25,"Year","Y",26,"0"
"Asia","Master's","Y","N",3597,"South",140175.31,"Year","Y",23,"0"
"Europe","Master's","Y","N",2473,"West",42394.72,"Year","Y",30,"0"
"Asia","Master's","Y","N",22543,"South",123721.58,"Year","Y",24,"0"
"Asia","Bachelor's","Y","N",4703,"West",105675.34,"Year","N",21,"0"
"Asia","Master's","Y","N",2094,"Midwest",12296.58,"Year","Y",16,"0"
"North America","High School","Y","N",40,"Northeast",105203.79,"Year","Y",26,"0"
"Asia","Master's","Y","N",448,"South",97862.47,"Year","Y",31,"0"
"Asia","Master's","Y","N",1718,"South",108838.06,"Year","Y",170,"0"
"Europe","Bachelor's","Y","N",1867,"Northeast",45422.56,"Year","Y",15,"0"
"Asia","Master's","Y","N",230,"South",166702.27,"Year","Y",27,"0"
"Asia","Bachelor's","Y","N",597,"West",84829.33,"Year","Y",13,"0"
"Asia","Bachelor's","Y","N",3248,"South",89643.09,"Year","Y",47,"0"
"Asia","High School","Y","N",3061,"Northeast",124524.31,"Year","Y",33,"0"
"South America","Bachelor's","Y","N",2590,"Northeast",38753.92,"Year","Y",16,"0"
"Asia","High School","N","Y",429,"South",67638.51,"Year","Y",61,"0"
"Asia","Master's","Y","N",2949,"Midwest",48810.59,"Year","Y",39,"0"
"Asia","Bachelor's","N","N",681,"South",132782.27,"Year","Y",22,"0"
"South America","High School","N","N",1800,"West",67124.83,"Year","Y",177,"0"
"Asia","Master's","Y","N",655,"South",55489.38,"Year","Y",16,"0"
"Asia","Master's","Y","N",2687,"South",89749.62,"Year","Y",13,"0"
"Asia","Master's","N","N",4272,"Northeast",31052.05,"Year","N",41,"0"
"Asia","High School","N","N",2149,"West",112.16,"Hour","Y",24,"0"
"Europe","Bachelor's","N","N",3669,"South",32512.42,"Year","Y",14,"0"
"North America","Master's","Y","N",2206,"Northeast",64686.17,"Year","Y",13,"0"
"Asia","Bachelor's","Y","N",3477,"Island",92922.51,"Year","Y",12,"0"
"Asia","Bachelor's","N","N",882,"South",53314.73,"Year","Y",27,"0"
"South America","Doctorate","Y","N",1586,"Northeast",29490.88,"Year","Y",136,"0"
"Asia","Bachelor's","Y","N",854,"South",126511.45,"Year","N",33,"0"
"Europe","Bachelor's","Y","N",6362,"Midwest",110507.99,"Year","Y",26,"0"
"Asia","Master's","N","N",3205,"Northeast",83495.32,"Year","Y",19,"0"
"Asia","Master's","Y","N",1927,"Northeast",117848.66,"Year","Y",27,"0"
"Asia","High School","Y","N",692,"Midwest",99569.89,"Year","Y",22,"0"
"Asia","High School","N","N",824,"South",156710.51,"Year","Y",27,"0"
"North America","Bachelor's","N","N",1946,"South",60010.19,"Year","N",204,"0"
"Asia","High School","N","N",815,"West",43.7525,"Hour","Y",35,"0"
"Europe","Bachelor's","N","N",4828,"West",59282.65,"Year","Y",28,"0"
"Asia","Bachelor's","Y","N",5968,"West",28510.01,"Year","Y",32,"0"
"Asia","Master's","Y","N",1414,"West",31222.39,"Year","Y",18,"0"
"Asia","Bachelor's","Y","N",46258,"South",95283.05,"Year","Y",28,"0"
"Asia","Master's","N","N",1665,"Northeast",74708.25,"Year","Y",18,"0"
"Asia","Master's","Y","N",596,"Midwest",69545.89,"Year","Y",18,"0"
"Asia","High School","N","N",2748,"South",106204.02,"Year","Y",24,"0"
"Asia","High School","Y","N",3627,"West",48140.38,"Year","Y",19,"0"
"Asia","Bachelor's","Y","N",2304,"Midwest",8175.34,"Year","Y",15,"0"
"Asia","Bachelor's","Y","N",928,"South",113699.05,"Year","Y",20,"0"
"Asia","Master's","N","N",3302,"West",102887.78,"Year","N",41,"0"
"Asia","Master's","Y","N",1050,"West",77253.4,"Year","N",11,"0"
"Asia","High School","Y","N",3551,"Midwest",66951.02,"Year","Y",21,"0"
"Asia","Master's","Y","N",4583,"South",57703.17,"Year","Y",22,"0"
"North America","High School","N","N",3017,"Northeast",20080.94,"Year","Y",37,"0"
"Asia","Master's","N","N",1361,"South",67667.47,"Year","Y",56,"0"
"Asia","Bachelor's","Y","Y",1009,"South",124945.3,"Year","Y",16,"0"
"Asia","Master's","N","N",1156,"South",100838.82,"Year","N",59,"0"
"Asia","Bachelor's","Y","N",7290,"Midwest",56998.23,"Year","Y",13,"0"
"Europe","Doctorate","Y","N",2133,"West",880.78,"Year","Y",26,"0"
"Asia","Master's","Y","N",1247,"Midwest",94498.32,"Year","Y",40,"0"
"Asia","Bachelor's","Y","N",528,"West",40201.08,"Year","Y",17,"0"
"North America","Master's","N","Y",1260,"South",76946.33,"Year","Y",26,"0"
"Asia","Bachelor's","Y","N",1596,"Northeast",45847.34,"Year","Y",85,"0"
"Europe","High School","N","N",3212,"Midwest",431.2125,"Hour","Y",18,"0"
"Asia","High School","N","Y",1642,"Northeast",75790.21,"Year","Y",63,"0"
"Asia","Master's","Y","N",2201,"Northeast",105219.55,"Year","Y",13,"0"
"Asia","Master's","Y","N",2516,"Northeast",71782.14,"Year","Y",27,"0"
"Asia","Master's","Y","N",733,"Northeast",45022.48,"Year","Y",23,"0"
"Asia","Bachelor's","Y","N",542,"West",147323.08,"Year","Y",44,"0"
"North America","Master's","Y","N",3182,"West",141608.28,"Year","Y",12,"0"
"Asia","Bachelor's","N","N",1663,"West",209813.33,"Year","Y",170,"0"
"Asia","Bachelor's","N","N",3834,"Island",53794.56,"Year","Y",13,"0"
"Asia","Master's","Y","N",900,"Midwest",87725.51,"Year","Y",66,"0"
"Europe","Doctorate","Y","Y",1479,"South",65129.81,"Year","Y",18,"0"
"Asia","Bachelor's","N","N",716,"Northeast",317.3444,"Hour","Y",31,"0"
"Asia","Bachelor's","N","N",462,"South",35595.23,"Year","N",21,"0"
"North America","Master's","Y","N",4979,"Northeast",6269.03,"Year","Y",26,"0"
"Asia","Doctorate","Y","Y",118,"West",64988.74,"Year","Y",104,"0"
"North America","Master's","Y","N",1053,"South",88642,"Year","Y",25,"0"
"Asia","Master's","N","Y",1497,"West",99354.15,"Year","Y",62,"0"
"Asia","Bachelor's","N","N",2525,"West",505.6632,"Hour","Y",23,"0"
"Asia","Doctorate","N","Y",12357,"West",101702.59,"Year","Y",77,"0"
"Asia","Bachelor's","Y","Y",925,"South",112835.92,"Year","Y",74,"0"
"Europe","Master's","Y","N",5553,"West",21193.55,"Year","Y",164,"0"
"Asia","Bachelor's","Y","N",1095,"South",41109.32,"Year","Y",116,"0"
"Europe","Bachelor's","N","Y",1642,"Northeast",94500.22,"Year","Y",27,"0"
"Europe","Bachelor's","N","N",547,"South",11603.01,"Year","Y",125,"0"
"Asia","Bachelor's","Y","N",380,"South",97785.79,"Year","Y",17,"0"
"Asia","Master's","N","N",2095,"Midwest",113841.43,"Year","Y",28,"0"
"North America","High School","Y","N",1456,"South",108421.95,"Year","Y",23,"0"
"North America","Master's","Y","N",4742,"Midwest",7407.9,"Year","Y",18,"0"
"Asia","Master's","N","N",2504,"West",95880.52,"Year","Y",46,"0"
"North America","High School","N","N",1551,"West",1200.61,"Year","Y",185,"0"
"Europe","Bachelor's","Y","N",3872,"South",31565.76,"Year","Y",177,"0"
"Asia","Master's","Y","N",55504,"South",166748.4,"Year","N",54,"0"
"Asia","Master's","Y","N",572,"Midwest",177109.49,"Year","Y",78,"0"
"Europe","Bachelor's","Y","Y",325,"West",68399.86,"Year","Y",13,"0"
"Asia","Master's","N","N",2624,"Midwest",102206.7,"Year","Y",39,"0"
"Asia","Master's","Y","N",2506,"Northeast",58999.95,"Year","Y",21,"0"
"North America","Bachelor's","Y","N",7981,"Northeast",107768.7,"Year","Y",56,"0"
"Asia","Doctorate","Y","N",4488,"West",125970.79,"Year","Y",26,"0"
"Asia","Master's","Y","N",767,"Midwest",45414.33,"Year","Y",56,"0"
"Asia","Master's","Y","N",13114,"West",72166.16,"Year","Y",19,"0"
"Asia","Bachelor's","Y","N",2687,"Midwest",117638.81,"Year","Y",25,"0"
"Asia","High School","N","N",1060,"Midwest",83542.27,"Year","N",62,"0"
"Asia","Bachelor's","N","N",1728,"Northeast",38939.53,"Year","Y",27,"0"
"Asia","Bachelor's","Y","N",2563,"Northeast",93144.5,"Year","Y",52,"0"
"South America","Master's","Y","N",4853,"Northeast",59496.08,"Year","Y",26,"0"
"Asia","Master's","N","N",1510,"South",110542.93,"Year","Y",33,"0"
"Asia","Bachelor's","Y","Y",3698,"South",240153.33,"Year","Y",27,"0"
"Asia","Bachelor's","Y","N",2431,"West",33587.17,"Year","Y",16,"0"
"Asia","Bachelor's","Y","N",3777,"West",29988.61,"Year","Y",107,"0"
"Asia","Bachelor's","Y","N",3703,"West",201827.86,"Year","Y",45,"0"
"Asia","Bachelor's","Y","N",2757,"Northeast",95111.56,"Year","Y",15,"0"
"Europe","High School","N","Y",573,"South",221588.52,"Year","Y",23,"0"
"Asia","Bachelor's","Y","N",27,"Northeast",125412.24,"Year","Y",16,"0"
"Asia","Bachelor's","Y","N",4861,"Northeast",122651.65,"Year","Y",220,"0"
"Asia","Master's","N","N",249,"Midwest",56820.41,"Year","Y",14,"0"
"Asia","Bachelor's","N","N",3388,"Midwest",223357.39,"Year","Y",30,"0"
"Asia","Master's","N","N",2367,"Northeast",142633.6,"Year","N",51,"0"
"Europe","High School","N","N",2803,"Northeast",12083.25,"Year","Y",39,"0"
"Oceania","Master's","N","N",2632,"Northeast",96222.75,"Year","N",11,"0"
"Asia","Master's","Y","N",1482,"Midwest",27069.76,"Year","Y",27,"0"
"Asia","Bachelor's","Y","N",362,"South",84874.38,"Year","Y",22,"0"
"Asia","Master's","Y","N",1781,"West",17835.82,"Year","N",138,"0"
"Europe","Bachelor's","N","Y",2551,"Midwest",72973.11,"Year","Y",14,"0"
"North America","Master's","N","N",4300,"South",19138.55,"Year","N",76,"0"
"Asia","Master's","Y","N",3402,"South",96519.22,"Year","Y",203,"0"
"Asia","Master's","Y","N",266,"South",62962.14,"Year","Y",48,"0"
"Asia","High School","Y","N",2685,"West",51463,"Year","Y",23,"0"
"Europe","Master's","Y","N",388,"South",86493.39,"Year","Y",46,"0"
"South America","Master's","Y","N",4334,"West",53538.37,"Year","Y",26,"0"
"Asia","Bachelor's","Y","N",3035,"West",89891.32,"Year","N",117,"0"
"Asia","Bachelor's","Y","N",457,"South",376.6703,"Hour","Y",31,"0"
"Asia","Master's","N","N",3715,"West",25062.41,"Year","Y",98,"0"
"South America","Master's","Y","Y",937,"Northeast",164171.12,"Year","Y",27,"0"
"South America","Master's","N","N",2792,"South",20280.05,"Year","Y",16,"0"
"Asia","Bachelor's","N","N",426,"Midwest",67796.05,"Year","Y",85,"0"
"Asia","Bachelor's","N","N",3953,"Northeast",24399.77,"Year","Y",34,"0"
"Asia","High School","N","N",1471,"Midwest",136324.48,"Year","Y",117,"0"
"Europe","Bachelor's","N","N",211,"West",18937.37,"Year","Y",113,"0"
"Europe","Bachelor's","Y","N",5881,"West",15058.32,"Year","Y",27,"0"
"Asia","Master's","N","N",356,"West",137266.38,"Year","Y",25,"0"
"Asia","High School","N","N",1872,"South",67759.24,"Year","Y",10,"0"
"Asia","Bachelor's","Y","N",62,"Midwest",181163.49,"Year","Y",32,"0"
"North America","Bachelor's","Y","N",547,"South",91539.25,"Year","N",156,"0"
"Asia","High School","N","N",3161,"Northeast",113378.11,"Year","Y",17,"0"
"Asia","Doctorate","N","N",4935,"Northeast",63553.28,"Year","Y",28,"0"
"Asia","Master's","Y","N",2384,"West",14517.69,"Year","Y",23,"0"
"Asia","Master's","Y","N",722,"Midwest",217013.21,"Year","Y",30,"0"
"Europe","Master's","Y","N",4754,"West",40771.68,"Year","Y",28,"0"
"Asia","Bachelor's","Y","N",4189,"Northeast",38689.83,"Year","Y",26,"0"
"North America","Master's","N","N",5838,"South",43121.83,"Year","N",34,"0"
"Asia","Bachelor's","Y","N",1334,"Northeast",34442.96,"Year","Y",126,"0"
"Asia","Bachelor's","Y","N",2277,"Northeast",2487.6,"Year","Y",39,"0"
"North America","Bachelor's","N","N",757,"Northeast",56244.9,"Year","Y",31,"0"
"Europe","Bachelor's","Y","N",802,"South",131105,"Year","Y",141,"0"
"North America","Bachelor's","Y","N",2573,"Northeast",94158.75,"Year","Y",32,"0"
"Europe","Master's","N","N",1500,"Midwest",91694.87,"Year","Y",40,"0"
"Asia","Bachelor's","Y","Y",2059,"West",65642.88,"Year","Y",12,"0"
"Asia","High School","N","N",1560,"West",30542.17,"Year","Y",28,"0"
"Asia","Bachelor's","Y","N",5232,"Midwest",3303.09,"Year","Y",49,"0"
"Asia","Bachelor's","Y","N",2364,"South",122899.51,"Year","Y",36,"0"
"Europe","Bachelor's","Y","N",2188,"Midwest",9118.99,"Year","Y",18,"0"
"Asia","Bachelor's","N","N",3825,"West",109462.57,"Year","Y",25,"0"
"Asia","Master's","Y","Y",1743,"Northeast",105660.43,"Year","Y",11,"0"
"Asia","Bachelor's","Y","N",2670,"Northeast",187154.3,"Year","Y",144,"0"
"Asia","High School","Y","N",1387,"Northeast",104584.35,"Year","Y",26,"0"
"Asia","Bachelor's","Y","N",1513,"South",68912.54,"Year","Y",62,"0"
"Asia","Master's","Y","N",786,"South",49160.78,"Year","Y",12,"0"
"Asia","Bachelor's","Y","N",3029,"Midwest",69410.37,"Year","Y",30,"0"
"Africa","Bachelor's","N","N",3440,"South",84153.68,"Year","Y",56,"0"
"Asia","Bachelor's","Y","N",765,"Midwest",107910.48,"Year","Y",32,"0"
"Asia","Bachelor's","Y","N",4468,"Northeast",124155.24,"Year","Y",20,"0"
"Asia","High School","N","N",1905,"South",108236.71,"Year","N",19,"0"
"Asia","Bachelor's","Y","N",2282,"Northeast",127078,"Year","N",25,"0"
"Asia","High School","Y","N",1913,"Midwest",433.152,"Hour","Y",123,"0"
"Asia","Doctorate","N","Y",1785,"South",126431.51,"Year","Y",22,"0"
"Asia","Master's","N","N",2816,"Midwest",111497.82,"Year","N",41,"0"
"Asia","Master's","Y","N",1036,"South",63728.97,"Year","Y",130,"0"
"Asia","Bachelor's","Y","N",794,"Northeast",56558.44,"Year","Y",147,"0"
"Asia","High School","Y","Y",1817,"South",543.8803,"Hour","Y",191,"0"
"Asia","Master's","N","N",1182,"Midwest",100805.29,"Year","N",24,"0"
"Europe","Doctorate","Y","N",2623,"South",13887.91,"Year","Y",12,"0"
"Asia","Bachelor's","Y","N",870,"Northeast",95295.96,"Year","Y",24,"0"
"Asia","High School","N","N",6146,"Northeast",75313.75,"Year","Y",13,"0"
"Asia","Bachelor's","N","N",369,"Midwest",119047.32,"Year","Y",35,"0"
"Africa","Doctorate","Y","N",4178,"Northeast",108755.07,"Year","Y",147,"0"
"Europe","Master's","Y","N",6573,"Northeast",379.87,"Year","N",23,"0"
"Asia","Bachelor's","Y","N",2082,"South",247248.66,"Year","Y",31,"0"
"Europe","High School","Y","N",47,"West",50248.61,"Year","Y",20,"0"
"Asia","Master's","Y","N",1997,"Midwest",172510.9,"Year","Y",31,"0"
"Asia","Bachelor's","N","N",3904,"Northeast",126044.24,"Year","Y",36,"0"
"Asia","Doctorate","N","Y",1192,"Northeast",44947.68,"Year","Y",39,"0"
"Asia","Bachelor's","Y","N",29186,"West",156265.77,"Year","Y",17,"0"
"Asia","Master's","Y","N",1499,"West",24917.84,"Year","N",30,"0"
"Asia","Doctorate","Y","N",4672,"South",3029.37,"Year","Y",186,"0"
"North America","Master's","Y","N",2795,"Northeast",11751.03,"Year","Y",18,"0"
"Asia","Doctorate","Y","N",4015,"South",8593.05,"Year","Y",54,"0"
"Asia","Master's","Y","N",3837,"Midwest",112406.97,"Year","Y",30,"0"
"Asia","Master's","N","Y",1755,"South",68968.47,"Year","Y",17,"0"
"South America","Bachelor's","N","Y",1912,"Midwest",88361,"Year","Y",30,"0"
"Asia","Bachelor's","N","N",3877,"Northeast",64396.68,"Year","Y",61,"0"
"Asia","Bachelor's","Y","N",2316,"South",114369.66,"Year","Y",14,"0"
"North America","Bachelor's","N","N",1109,"South",42186.52,"Year","Y",14,"0"
"Europe","Doctorate","Y","N",1666,"West",69337.42,"Year","Y",14,"0"
"Europe","Bachelor's","N","N",4674,"West",26779.66,"Year","Y",18,"0"
"Europe","Bachelor's","N","Y",2294,"South",65358.81,"Year","Y",37,"0"
"Asia","High School","Y","N",6129,"South",107631.38,"Year","Y",26,"0"
"Asia","Doctorate","Y","N",5898,"West",12892.09,"Year","Y",77,"0"
"Asia","Bachelor's","N","Y",3179,"West",138499.5,"Year","Y",21,"0"
"Asia","Doctorate","Y","N",5422,"Northeast",34965.62,"Year","Y",18,"0"
"Europe","Master's","Y","N",3847,"South",85262.83,"Year","N",21,"0"
"Europe","Master's","Y","Y",3086,"West",68313.51,"Year","Y",20,"0"
"Europe","Bachelor's","Y","N",753,"South",72041.34,"Year","Y",103,"0"
"Asia","Bachelor's","Y","N",4050,"Northeast",106638.44,"Year","Y",191,"0"
"Asia","Master's","N","N",681,"Northeast",19502.72,"Year","Y",20,"0"
"Europe","Doctorate","Y","N",987,"South",41977.95,"Year","Y",21,"0"
"Asia","Master's","Y","N",1337,"Midwest",60522.85,"Year","Y",55,"0"
"Asia","Bachelor's","Y","N",1712,"South",127214.67,"Year","Y",39,"0"
"Asia","Master's","N","N",2662,"South",91077.6,"Year","N",139,"0"
"Asia","Master's","N","N",263,"Midwest",92848.49,"Year","Y",30,"0"
"South America","Master's","Y","N",1067,"Midwest",91013.86,"Year","Y",49,"0"
"Asia","Bachelor's","N","N",1773,"Northeast",39470.83,"Year","Y",151,"0"
"Asia","Master's","Y","N",959,"West",32718.74,"Month","Y",57,"0"
"Asia","Master's","N","N",957,"South",72154.66,"Year","Y",17,"0"
"Asia","Bachelor's","Y","N",1990,"Midwest",899.036,"Hour","Y",13,"0"
"Asia","Master's","N","N",1877,"Midwest",230431.69,"Year","Y",43,"0"
"Europe","Bachelor's","N","N",1570,"West",69085.07,"Year","Y",21,"0"
"North America","Master's","N","N",1508,"West",33170.11,"Year","N",17,"0"
"Asia","High School","Y","N",4154,"Northeast",68471.32,"Year","Y",14,"0"
"North America","Bachelor's","Y","N",2209,"Northeast",9157.49,"Year","Y",56,"0"
"North America","Master's","Y","N",1687,"South",90441.92,"Year","Y",47,"0"
"Asia","High School","Y","N",3885,"Northeast",144344.5,"Year","Y",156,"0"
"Asia","Doctorate","Y","N",4216,"Northeast",35628.54,"Year","Y",20,"0"
"Asia","Master's","N","N",2076,"Northeast",824.2697,"Hour","Y",186,"0"
"Europe","Doctorate","Y","N",3186,"Northeast",31983.29,"Year","Y",80,"0"
"Europe","High School","N","Y",3724,"West",240099.97,"Year","Y",49,"0"
"Europe","Bachelor's","Y","N",1267,"West",72912,"Year","Y",12,"0"
"Asia","Doctorate","Y","N",2094,"South",129831.54,"Year","Y",77,"0"
"Europe","Bachelor's","N","N",1053,"West",80049.62,"Year","Y",24,"0"
"Asia","Master's","Y","N",1885,"Midwest",84416.39,"Year","Y",19,"0"
"Europe","Doctorate","Y","N",4223,"South",47466.95,"Year","Y",28,"0"
"Asia","Master's","Y","N",1535,"Midwest",125230.19,"Year","Y",50,"0"
"Asia","Master's","Y","N",1147,"Northeast",197111.34,"Year","Y",178,"0"
"Europe","Bachelor's","Y","N",552,"Northeast",1819.86,"Year","Y",17,"0"
"Europe","High School","N","Y",5547,"Northeast",115858.64,"Year","Y",24,"0"
"Asia","Bachelor's","N","Y",2024,"South",106032.8,"Year","Y",46,"0"
"Asia","Master's","Y","N",451,"South",127639.05,"Year","Y",49,"0"
"Asia","Master's","Y","N",2421,"Midwest",98602.35,"Year","Y",23,"0"
"Asia","Master's","Y","N",3639,"West",88672.05,"Year","N",148,"0"
"Asia","Master's","Y","N",683,"South",57736.71,"Year","Y",22,"0"
"Europe","Doctorate","Y","N",2444,"Northeast",99264.17,"Year","Y",21,"0"
"Asia","Bachelor's","N","Y",860,"South",133097.51,"Year","Y",27,"0"
"Asia","Bachelor's","N","Y",1354,"South",59228.35,"Year","Y",19,"0"
"Asia","Master's","Y","N",1324,"Midwest",52841.21,"Year","N",25,"0"
"Europe","Doctorate","Y","N",629,"South",16449.12,"Year","Y",30,"0"
"Asia","Master's","Y","N",3180,"Midwest",130559.63,"Year","Y",16,"0"
"Asia","Master's","Y","N",16049,"South",101707.32,"Year","Y",57,"0"
"Asia","Bachelor's","Y","N",3387,"Northeast",83672.69,"Year","Y",20,"0"
"Asia","Bachelor's","N","N",478,"West",54573.93,"Month","Y",26,"0"
"Asia","Master's","N","N",2078,"Northeast",81081.05,"Year","N",15,"0"
"North America","Doctorate","Y","N",2848,"Northeast",52629.95,"Year","Y",54,"0"
"South America","Doctorate","Y","Y",1129,"Northeast",102553.11,"Year","Y",102,"0"
"Asia","Master's","Y","N",16089,"South",958.758,"Hour","Y",73,"0"
"Asia","Bachelor's","Y","N",5723,"South",85509.81,"Year","Y",25,"0"
"Europe","Master's","N","N",21897,"South",3778.66,"Year","Y",46,"0"
"Asia","Master's","Y","N",2448,"Northeast",23904.67,"Year","Y",37,"0"
"Europe","Bachelor's","N","Y",2612,"South",18762.69,"Year","Y",25,"0"
"Asia","Master's","N","N",319,"Midwest",99532.54,"Year","Y",47,"0"
"Asia","Master's","Y","N",1441,"West",102129.46,"Year","Y",21,"0"
"Europe","Doctorate","Y","N",3897,"Northeast",45030.93,"Year","Y",16,"0"
"Europe","Master's","Y","N",119715,"West",9178.17,"Year","Y",18,"0"
"Asia","Master's","Y","N",2234,"South",35862.79,"Year","Y",18,"0"
"North America","Bachelor's","Y","N",1009,"Midwest",34511.96,"Year","Y",35,"0"
"Asia","Master's","Y","N",4876,"South",29887.03,"Year","Y",16,"0"
"North America","High School","Y","N",1380,"Midwest",146968.05,"Year","Y",23,"0"
"Asia","Master's","Y","N",543,"South",122812.56,"Year","Y",110,"0"
"Asia","Bachelor's","N","N",1327,"Northeast",92222.04,"Year","Y",11,"0"
"Africa","Master's","N","N",156,"Northeast",97764.74,"Year","Y",10,"0"
"Europe","Master's","N","Y",62,"South",43011.47,"Year","Y",23,"0"
"Asia","High School","N","N",105,"Northeast",22330.28,"Year","Y",24,"0"
"Europe","Bachelor's","Y","N",1409,"Northeast",1825.89,"Year","Y",36,"0"
"Asia","Bachelor's","Y","N",5319,"South",64662.64,"Year","Y",16,"0"
"Asia","Master's","Y","N",442,"Northeast",86594.59,"Year","Y",140,"0"
"Asia","Doctorate","Y","N",56774,"Northeast",45584.76,"Year","Y",30,"0"
"Asia","Master's","Y","N",2376,"South",48975.68,"Year","Y",18,"0"
"North America","Bachelor's","Y","N",2286,"West",72131.75,"Year","Y",25,"0"
"Asia","Bachelor's","N","N",256,"Midwest",36423.36,"Year","Y",135,"0"
"Europe","High School","Y","N",178,"South",64079.33,"Year","Y",126,"0"
"Asia","Bachelor's","Y","N",845,"Northeast",103554.93,"Year","Y",20,"0"
"Asia","Bachelor's","N","N",3772,"Midwest",89195.29,"Year","Y",17,"0"
"Asia","Bachelor's","Y","N",1019,"South",144197.97,"Year","N",42,"0"
"Asia","Master's","Y","N",2763,"South",18747.28,"Year","Y",19,"0"
"Asia","Master's","Y","N",146713,"Midwest",37935.83,"Year","Y",61,"0"
"Asia","High School","Y","N",541,"Midwest",28924.61,"Year","Y",50,"0"
"Asia","Bachelor's","N","N",4505,"Midwest",85822.38,"Year","Y",11,"0"
"North America","Master's","Y","N",5880,"West",15268.45,"Year","Y",174,"0"
"Asia","Master's","Y","N",33101,"Northeast",96900.56,"Year","Y",14,"0"
"Asia","Bachelor's","N","N",2744,"West",71315.45,"Year","Y",13,"0"
"North America","Master's","Y","N",3676,"Northeast",118616,"Year","Y",30,"0"
"Europe","Bachelor's","Y","N",669,"West",9332.47,"Year","Y",38,"0"
"Asia","High School","Y","N",2983,"Northeast",59079.03,"Year","Y",19,"0"
"Asia","Master's","Y","N",2343,"South",2647.81,"Year","Y",38,"0"
"Asia","High School","N","N",516,"Midwest",21522.06,"Year","Y",186,"0"
"Asia","Bachelor's","Y","N",2852,"South",99565.67,"Year","Y",43,"0"
"Asia","High School","N","N",2744,"West",116762.74,"Year","Y",47,"0"
"Asia","Bachelor's","Y","N",2159,"West",16056.01,"Year","Y",20,"0"
"Asia","Bachelor's","Y","N",3510,"South",84976.22,"Year","Y",44,"0"
"Africa","Master's","Y","N",2491,"Northeast",32465.54,"Year","N",99,"0"
"Europe","Bachelor's","N","N",501,"South",106701.9,"Year","Y",10,"0"
"Asia","High School","Y","Y",1228,"South",37925.91,"Year","Y",16,"0"
"Europe","Doctorate","N","N",4763,"West",18727.54,"Year","Y",34,"0"
"Asia","Master's","Y","N",2442,"Northeast",142913.55,"Year","Y",62,"0"
"Asia","Master's","N","N",1570,"Midwest",86060.21,"Year","N",16,"0"
"Europe","Doctorate","Y","N",1172,"Northeast",83671.92,"Year","Y",27,"0"
"North America","High School","Y","N",2534,"Northeast",23203.41,"Year","Y",17,"0"
"Asia","Bachelor's","Y","N",414,"South",69789.98,"Year","Y",11,"0"
"Asia","Bachelor's","Y","N",2716,"South",6230.57,"Year","Y",157,"0"
"Europe","High School","Y","N",2536,"Midwest",163341.22,"Year","Y",70,"0"
"Africa","Master's","N","N",6084,"Midwest",91868.48,"Year","Y",28,"0"
"Asia","Bachelor's","Y","N",1758,"Midwest",63608.38,"Year","Y",47,"0"
"North America","High School","N","N",3922,"South",55758.1,"Year","N",41,"0"
"North America","Master's","N","N",2404,"South",104317.18,"Year","Y",59,"0"
"Asia","Master's","Y","N",33,"South",84054.72,"Year","Y",11,"0"
"Asia","Master's","N","N",4782,"Northeast",70412.85,"Year","Y",32,"0"
"Asia","Bachelor's","Y","N",2176,"Midwest",59807.32,"Year","Y",11,"0"
"Asia","Master's","Y","Y",2022,"Northeast",151306.19,"Year","Y",34,"0"
"Asia","Master's","N","N",2894,"Midwest",135177.36,"Year","Y",25,"0"
"Europe","High School","N","N",64632,"Midwest",50483.86,"Year","Y",33,"0"
"Europe","Master's","Y","N",2329,"West",9822.94,"Year","Y",135,"0"
"North America","Bachelor's","Y","N",1249,"West",35516.37,"Week","Y",53,"0"
"Asia","Master's","Y","N",2297,"South",107026.9,"Year","Y",17,"0"
"North America","Bachelor's","Y","N",4022,"South",87393.28,"Year","Y",139,"0"
"Europe","Master's","N","Y",3266,"Midwest",63735.83,"Year","Y",30,"0"
"Asia","Bachelor's","Y","N",1474,"Island",138983.5,"Year","N",19,"0"
